pl_name,pl_rade,pl_orbper,pl_eqt
HAT-P-3 b,10.614923,2.899736,1189.0
HAT-P-3 b,10.0433,2.8997405,1015.0
HAT-P-3 b,10.211399,2.89973838,1170.0
HAT-P-3 b,10.076891,2.899703,1127.0
HAT-P-30 b,15.99522635,2.81060132493,1578.69
HAT-P-30 b,15.02,2.810595,1630.0
HAT-P-31 b,11.99,5.005425,1450.0
HAT-P-31 b,13.63145276,5.0052605034,1333.32
HAT-P-32 b,22.19382,2.1500082,1835.7
HAT-P-32 b,20.053,2.150008,1786.0
HAT-P-32 b,20.131364,2.1500085,1779.0
HAT-P-32 b,20.63649443,2.14999072037,1676.16
HAT-P-33 b,19.6131,3.4744763,1789.0
HAT-P-33 b,18.898,3.474474,1782.0
HAT-P-34 b,14.5502,5.4526479,1271.0
HAT-P-34 b,13.417,5.452654,1520.0
HAT-P-35 b,14.93,3.646706,1581.0
HAT-P-35 b,13.28441341,3.64666120531,1434.11
HAT-P-36 b,14.168,1.327347,1823.0
HAT-P-36 b,15.4709,1.3273482,1697.0
HAT-P-36 b,14.313893,1.32734683,1780.97
HAT-P-36 b,15.210613,1.3273466,1820.2
HAT-P-36 b,14.616536,1.32734683,1788.0
HAT-P-37 b,13.204,2.797436,1271.0
HAT-P-37 b,12.01490883,2.79747573594,1149.34
HAT-P-38 b,9.247,4.640382,1082.0
HAT-P-38 b,10.24074428,4.64012692204,1007.02
HAT-P-39 b,19.12027571,3.54387321129,1687.33
HAT-P-39 b,17.609,3.54387,1752.0
HAT-P-4 b,15.1633,3.0565259,1715.0
HAT-P-4 b,14.986433,3.0565195,1691.0
HAT-P-4 b,14.28,3.056536,1686.0
HAT-P-40 b,18.03115599,4.45714437131,1648.99
HAT-P-40 b,19.392,4.457243,1770.0
HAT-P-41 b,18.25137548,2.69403477519,1800.75
HAT-P-41 b,18.887,2.694047,1941.0
HAT-P-42 b,14.348,4.641878,1428.0
HAT-P-42 b,12.6031793,4.64184345361,1304.37
HAT-P-43 b,14.359,3.332687,1361.0
HAT-P-43 b,14.4797,3.3326812,1331.0
HAT-P-43 b,13.63,3.3326414,1353.0
HAT-P-44 b,13.922,4.301219,1108.0
HAT-P-44 b,15.3684,4.3011975,1027.0
HAT-P-45 b,16.90823315,3.12904756215,1452.61
HAT-P-45 b,15.984,3.128992,1652.0
HAT-P-46 b,13.39344025,4.46266465618,1561.62
HAT-P-46 b,14.392,4.463129,1458.0
HAT-P-49 b,17.4501,2.6915408,2267.0
HAT-P-49 b,15.838,2.691548,2131.0
HAT-P-5 b,13.94326447,2.78847226599,1377.4
HAT-P-5 b,14.056086,2.788491,1539.0
HAT-P-50 b,14.437192,3.1220109,1862.0
HAT-P-50 b,14.32293971,3.12201660495,1728.26
HAT-P-51 b,13.50682174,4.21802091,1168.2
HAT-P-51 b,13.69767777,4.2186625028,1071.66
HAT-P-51 b,14.493237,4.2180278,1192.0
HAT-P-52 b,11.309881,2.7535953,1218.0
HAT-P-52 b,10.7107,2.7535993,1082.0
HAT-P-53 b,12.8959,1.9618085,1765.0
HAT-P-53 b,14.773462,1.9616241,1778.0
HAT-P-54 b,13.26706229,3.79985358153,782.65
HAT-P-54 b,10.581296,3.799847,818.0
HAT-P-55 b,14.84069045,3.5852313,1367.0
HAT-P-55 b,13.249038,3.5852467,1313.0
HAT-P-55 b,14.54318286,3.58522837273,1233.53
HAT-P-56 b,16.75594879,2.79082852671,1705.34
HAT-P-56 b,16.432394,2.7908327,1840.0
HAT-P-57 b,17.08611392,2.46518010117,1843.0
HAT-P-57 b,15.838317,2.465295,2200.0
HAT-P-58 b,14.93036229,4.0138379,1622.0
HAT-P-58 b,14.95447888,4.01357004878,1391.58
HAT-P-59 b,12.98126322,4.14198051012,1182.99
HAT-P-59 b,12.58768533,4.1419771,1277.8
HAT-P-6 b,15.4014,3.8529998,1604.0
HAT-P-6 b,15.636555,3.853003,1704.0
HAT-P-6 b,14.90797,3.852985,1675.0
HAT-P-60 b,18.3428,4.7947749,1574.0
HAT-P-60 b,18.28184752,4.7947813,1772.0
HAT-P-61 b,10.07687365,1.90231289,1505.0
HAT-P-61 b,11.37324393,1.90250318292,1419.31
HAT-P-62 b,12.02723629,2.6453235,1512.0
HAT-P-62 b,12.78036574,2.64521208547,1423.54
HAT-P-63 b,13.62393371,3.37774192505,1118.89
HAT-P-63 b,12.5428494,3.377728,1237.0
HAT-P-64 b,18.1614,4.007232,1664.0
HAT-P-64 b,19.08889413,4.007232,1766.0
HAT-P-65 b,17.85436992,2.60526736721,1729.58
HAT-P-65 b,18.05766791,2.60544751,1818.0
HAT-P-65 b,21.18501,2.6054552,1930.0
HAT-P-66 b,17.82231,2.972086,1896.0
HAT-P-66 b,15.6498,2.9720774,1848.0
HAT-P-67 b,22.6223,4.8099755,1869.0
HAT-P-67 b,23.370765,4.8101025,1903.0
HAT-P-68 b,13.70588688,2.29840578875,963.63
HAT-P-68 b,12.016048,2.29840551,1027.8
HAT-P-69 b,18.786284,4.7869491,1930.0
HAT-P-69 b,18.0112,4.786958,1933.0
HAT-P-7 b,16.1,2.204735417,2048.0
HAT-P-7 b,15.905571,2.2047354,2200.0
HAT-P-7 b,15.043,2.204737,2733.0
HAT-P-7 b,17.9781,2.2047452,2634.0
HAT-P-7 b,22.3,2.20473537,2303.0
HAT-P-7 b,16.39,2.204735365,2025.0
HAT-P-7 b,16.712619,2.2047372,2700.0
HAT-P-7 b,16.421185,2.2047304,2194.0
HAT-P-7 b,16.39,2.204735365,2025.0
HAT-P-7 b,16.39,2.204735365,2025.0
HAT-P-70 b,20.96083,2.74432452,2562.0
HAT-P-70 b,20.1852,2.7443216,2388.0
HAT-P-8 b,16.81,3.0763776,1700.0
HAT-P-8 b,14.22874853,3.07632903681,1592.5
HAT-P-9 b,15.8493,3.9228042,1369.0
HAT-P-9 b,15.69,3.92289,1530.0
HAT-P-9 b,15.614137,3.92281072,1540.0
HAT-P-9 b,15.46842,3.922814,1540.0
HATS-1 b,14.594,3.446459,1359.0
HATS-1 b,12.53990524,3.44645291291,1199.93
HATS-10 b,10.861521,3.312846,1407.0
HATS-11 b,18.03,3.619188,1596.0
HATS-11 b,16.92559,3.6191613,1637.0
HATS-12 b,7.76,3.142702,1446.0
HATS-12 b,15.13215,3.142833,2097.0
HATS-13 b,13.585308,3.0440499,1244.0
HATS-13 b,12.10867994,3.04405406653,1075.32
HATS-14 b,11.646151,2.7667641,1276.0
HATS-14 b,12.28673887,2.76676000983,1209.57
HATS-15 b,12.385945,1.74748753,1505.0
HATS-16 b,14.5717,2.686502,1592.0
HATS-16 b,13.74702393,2.68650414921,1432.37
HATS-17 b,8.709393,16.254611,814.0
HATS-17 b,9.68176,16.2546802,787.0
HATS-18 b,14.986433,0.8378434,2060.0
HATS-18 b,14.896761,0.83784,2069.48
HATS-18 b,15.97111803,0.83784527504,1909.02
HATS-2 b,13.22366376,1.35413417418,1415.98
HATS-2 b,13.092,1.354133,1577.0
HATS-2 b,12.57647635,1.35413379,1550.0
HATS-22 b,10.682177,4.7228124,858.0
HATS-22 b,12.0898005,4.72281595736,828.4
HATS-23 b,20.84874,2.1605156,1654.0
HATS-24 b,15.636555,1.3484978,2166.0
HATS-24 b,15.88246379,1.34849612642,1839.67
HATS-24 b,16.667783,1.3484954,2067.0
HATS-25 b,14.28926088,4.29864661021,1177.86
HATS-25 b,14.12334,4.2986432,1277.0
HATS-26 b,17.80799124,3.3023907305,1753.94
HATS-26 b,19.61575,3.3023881,1918.0
HATS-27 b,15.3045465,4.6370478737,1543.85
HATS-27 b,16.8135,4.637038,1659.0
HATS-28 b,13.383546,3.1810781,1253.0
HATS-29 b,14.022459,4.6058749,1212.0
HATS-3 b,14.581841,3.547854,1504.86
HATS-3 b,15.48,3.547851,1648.0
HATS-30 b,14.91722558,3.17435042405,1320.65
HATS-30 b,13.170575,3.1743516,1414.0
HATS-31 b,14.33267511,3.37796143336,1617.93
